payment_id,created_at,status,method,amount,error_code,error_description,email,phone,currency
pay_10034,2026-03-14T18:05:00Z,captured,upi,3690.51,,Payment captured successfully,anushka.mehta@example.com,919871124923,INR
pay_10035,2026-04-17T14:45:00Z,captured,upi,594.5,,Payment captured successfully,siddharth.nair@example.com,919879519112,INR
pay_10036,2026-04-29T09:35:00Z,captured,card,148789.25,,Payment captured successfully,om.saxena@example.com,919877750178,INR
pay_10037,2026-04-20T22:57:00Z,captured,card,77731.14,,Payment captured successfully,pooja.kulkarni@example.com,919869038700,INR
pay_10038,2026-01-20T17:15:00Z,failed,card,3160.07,ACCOUNT_BLOCKED,Bank account or card is blocked,mihika.khan@example.com,919818357162,INR
pay_10039,2026-02-22T21:24:00Z,captured,netbanking,666.26,,Payment captured successfully,simran.malhotra@example.com,919866240084,INR
pay_10040,2026-05-18T15:31:00Z,captured,card,1116.07,,Payment captured successfully,aditya.saxena@example.com,919881688860,INR
pay_10041,2026-01-07T20:37:00Z,captured,upi,31158.98,,Payment captured successfully,mihika.gupta@example.com,919855298556,INR
pay_10042,2026-07-14T20:17:00Z,failed,upi,5818.98,GATEWAY_ERROR,Issuer bank declined the transaction,rohan.shah@example.com,919843189803,INR
pay_10043,2026-02-21T08:39:00Z,failed,card,10639.13,AUTH_FAILURE,Authentication required by bank,rahul.deshmukh@example.com,919824508768,INR
pay_10044,2026-05-29T08:59:00Z,failed,card,4831.73,BANK_DECLINED,Bank declined the transaction,mohit.iyer@example.com,919885958181,INR
pay_10045,2026-07-20T09:22:00Z,failed,upi,15442.81,FRAUD_SUSPECTED,Transaction flagged for risk review,mihika.reddy@example.com,919830534124,INR
pay_10046,2026-04-22T13:46:00Z,captured,upi,96487.38,,Payment captured successfully,pooja.mehta@example.com,919847437115,INR
pay_10047,2026-08-14T22:15:00Z,failed,upi,32300.23,LIMIT_EXCEEDED,Transaction limit exceeded,mohit.reddy@example.com,919847080140,INR
pay_10048,2026-05-23T08:33:00Z,captured,netbanking,41535.0,,Payment captured successfully,priya.mehta@example.com,919849491631,INR
pay_10049,2026-02-26T20:44:00Z,captured,card,149663.15,,Payment captured successfully,mihika.kulkarni@example.com,919851154241,INR
pay_10050,2026-03-06T15:07:00Z,captured,upi,39155.03,,Payment captured successfully,avni.chavan@example.com,919890099897,INR
pay_10051,2026-03-14T11:53:00Z,captured,card,380.99,,Payment captured successfully,aditya.agarwal@example.com,919875884623,INR
pay_10052,2026-01-27T08:36:00Z,captured,card,581.97,,Payment captured successfully,shreya.bhosale@example.com,919819943140,INR
pay_10053,2026-05-28T09:09:00Z,captured,card,126444.34,,Payment captured successfully,anushka.joshi@example.com,919880138498,INR
pay_10054,2026-04-08T22:58:00Z,captured,card,887.13,,Payment captured successfully,kavya.agarwal@example.com,919838323322,INR
pay_10055,2026-03-09T10:10:00Z,failed,card,640.59,BANK_DECLINED,Bank declined the transaction,mihika.mehta@example.com,919841329612,INR
pay_10056,2026-08-25T16:50:00Z,captured,upi,4214.82,,Payment captured successfully,ishita.mehta@example.com,919818004482,INR
pay_10057,2026-02-12T17:38:00Z,captured,upi,6243.41,,Payment captured successfully,nandini.jain@example.com,919820796722,INR
pay_10058,2026-06-03T09:56:00Z,captured,card,133595.86,,Payment captured successfully,priya.sharma@example.com,919846173157,INR
pay_10059,2026-05-28T09:48:00Z,captured,upi,21351.94,,Payment captured successfully,raj.verma@example.com,919864807553,INR
pay_10060,2026-03-27T18:42:00Z,failed,card,90045.23,GATEWAY_ERROR,Issuer bank declined the transaction,yash.iyer@example.com,919864247457,INR
pay_10061,2026-08-10T08:42:00Z,captured,netbanking,36791.56,,Payment captured successfully,kavya.kulkarni@example.com,919883715012,INR
pay_10062,2026-02-03T17:28:00Z,captured,netbanking,11299.59,,Payment captured successfully,isha.khan@example.com,919822510327,INR
pay_10063,2026-02-27T11:29:00Z,captured,netbanking,25214.86,,Payment captured successfully,raj.joshi@example.com,919871308842,INR
pay_10064,2026-05-22T12:24:00Z,captured,card,17443.28,,Payment captured successfully,abhishek.kulkarni@example.com,919810344303,INR
pay_10065,2026-03-14T17:53:00Z,captured,upi,84512.39,,Payment captured successfully,harsh.jain@example.com,919853188224,INR
pay_10066,2026-08-11T14:44:00Z,captured,card,26135.85,,Payment captured successfully,ishita.bhosale@example.com,919814968688,INR
pay_10067,2026-02-02T18:55:00Z,failed,card,1398.75,LIMIT_EXCEEDED,Transaction limit exceeded,shreya.agarwal@example.com,919820779739,INR
pay_10068,2026-08-07T18:54:00Z,failed,upi,98794.75,BANK_DECLINED,Issuer bank declined the transaction,varun.joshi@example.com,919822130508,INR
pay_10069,2026-04-22T11:48:00Z,captured,upi,897.06,,Payment captured successfully,tanvi.khan@example.com,919829538047,INR
pay_10070,2026-03-04T21:36:00Z,captured,upi,28388.67,,Payment captured successfully,ishita.joshi@example.com,919871894493,INR
pay_10071,2026-06-13T16:29:00Z,captured,card,38715.7,,Payment captured successfully,avni.deshmukh@example.com,919895756900,INR
pay_10072,2026-04-19T16:29:00Z,captured,upi,107192.27,,Payment captured successfully,varun.shah@example.com,919898346110,INR
pay_10073,2026-04-12T16:00:00Z,captured,upi,5490.39,,Payment captured successfully,siddharth.saxena@example.com,919857287718,INR
pay_10074,2026-02-26T14:39:00Z,captured,card,803.46,,Payment captured successfully,om.rao@example.com,919887789079,INR
pay_10075,2026-04-04T12:05:00Z,captured,netbanking,7007.75,,Payment captured successfully,riya.nair@example.com,919844489940,INR
pay_10076,2026-08-22T23:51:00Z,captured,card,4216.13,,Payment captured successfully,shreya.pawar@example.com,919859093496,INR
pay_10077,2026-01-24T20:00:00Z,failed,card,12489.37,INVALID_CVV,Card verification failed,anushka.pawar@example.com,919854024257,INR
pay_10078,2026-08-23T15:41:00Z,captured,card,858.08,,Payment captured successfully,nandini.iyer@example.com,919823044889,INR
pay_10079,2026-03-02T12:24:00Z,captured,card,3971.82,,Payment captured successfully,vikram.bhosale@example.com,919892631441,INR
pay_10080,2026-04-15T16:02:00Z,captured,upi,7360.89,,Payment captured successfully,manav.rao@example.com,919863437398,INR
pay_10081,2026-03-12T14:07:00Z,captured,netbanking,858.35,,Payment captured successfully,pooja.patel@example.com,919885776373,INR
pay_10082,2026-02-22T10:53:00Z,failed,upi,64755.42,NETWORK_TIMEOUT,Payment network timed out,dev.kulkarni@example.com,919833420607,INR
pay_10083,2026-01-29T08:08:00Z,captured,card,21098.44,,Payment captured successfully,karan.bhosale@example.com,919870166480,INR
pay_10084,2026-07-19T19:32:00Z,captured,upi,140875.17,,Payment captured successfully,priya.rao@example.com,919874287863,INR
pay_10085,2026-08-05T20:27:00Z,failed,upi,591.22,DUPLICATE_PAYMENT,Duplicate payment detected,mohit.chavan@example.com,919849580505,INR
pay_10086,2026-04-27T21:06:00Z,captured,upi,34296.18,,Payment captured successfully,siddharth.khan@example.com,919855490631,INR
pay_10087,2026-07-31T22:25:00Z,failed,card,28100.16,INSUFFICIENT_FUNDS,Insufficient funds in account,tanvi.patel@example.com,919884674816,INR
pay_10088,2026-01-16T18:42:00Z,captured,card,12502.09,,Payment captured successfully,manav.iyer@example.com,919887566910,INR
pay_10089,2026-05-10T14:09:00Z,failed,upi,126260.56,ACCOUNT_BLOCKED,Bank account or card is blocked,anushka.saxena@example.com,919896261621,INR
pay_10090,2026-05-23T08:38:00Z,captured,netbanking,6803.98,,Payment captured successfully,neha.patel@example.com,919886010330,INR
pay_10091,2026-06-18T20:04:00Z,failed,card,12460.37,BANK_DECLINED,Bank declined the transaction,rajat.saxena@example.com,919821402740,INR
pay_10092,2026-08-15T09:09:00Z,captured,card,38167.19,,Payment captured successfully,kavya.chavan@example.com,919825276327,INR
pay_10093,2026-03-30T21:07:00Z,failed,card,89526.34,REPEATED_FAILURE,Repeated consecutive failure on this instrument,kavya.patel@example.com,919844295247,INR
pay_10094,2026-03-16T18:07:00Z,failed,card,8801.69,CARD_EXPIRED,Card has expired,mihika.mehta@example.com,919852018286,INR
pay_10095,2026-05-28T21:36:00Z,captured,card,67187.32,,Payment captured successfully,tanvi.mehta@example.com,919868614462,INR
pay_10096,2026-08-05T11:15:00Z,failed,card,1314.51,AUTH_FAILURE,Authentication required by bank,arjun.verma@example.com,919857123808,INR
pay_10097,2026-07-06T12:15:00Z,captured,card,41569.57,,Payment captured successfully,rajat.mishra@example.com,919870251043,INR
pay_10098,2026-06-24T18:55:00Z,failed,netbanking,129632.97,GATEWAY_ERROR,Issuer bank declined the transaction,om.rao@example.com,919817635653,INR
pay_10099,2026-04-05T17:04:00Z,captured,upi,980.89,,Payment captured successfully,rajat.agarwal@example.com,919835265073,INR
pay_10100,2026-03-24T23:32:00Z,captured,card,121431.55,,Payment captured successfully,rohan.joshi@example.com,919868754920,INR
pay_10101,2026-04-23T13:23:00Z,failed,card,8383.33,AUTH_FAILURE,Authentication required by bank,harsh.deshmukh@example.com,919843822301,INR
pay_10102,2026-07-05T12:21:00Z,captured,card,4666.07,,Payment captured successfully,ananya.deshmukh@example.com,919885017250,INR
pay_10103,2026-04-07T18:52:00Z,captured,card,46934.77,,Payment captured successfully,priya.verma@example.com,919851455302,INR
pay_10104,2026-02-16T14:21:00Z,captured,netbanking,588.02,,Payment captured successfully,dev.naik@example.com,919880669879,INR
pay_10105,2026-01-10T18:56:00Z,captured,upi,2506.5,,Payment captured successfully,rohan.khan@example.com,919858895439,INR
pay_10106,2026-06-23T15:28:00Z,captured,upi,23370.66,,Payment captured successfully,arjun.verma@example.com,919886560394,INR
pay_10107,2026-04-23T22:49:00Z,captured,card,3109.31,,Payment captured successfully,sneha.agarwal@example.com,919874503785,INR
pay_10108,2026-08-12T19:35:00Z,captured,netbanking,17935.55,,Payment captured successfully,ishita.khan@example.com,919822309586,INR
pay_10109,2026-08-22T15:52:00Z,captured,card,478.67,,Payment captured successfully,priya.gupta@example.com,919823298711,INR
pay_10110,2026-08-03T18:50:00Z,captured,card,44088.04,,Payment captured successfully,aarav.mehta@example.com,919812550658,INR
pay_10111,2026-03-07T14:53:00Z,failed,card,951.18,ACCOUNT_BLOCKED,Bank account or card is blocked,anushka.jain@example.com,919818429833,INR
pay_10112,2026-01-29T23:38:00Z,failed,upi,12184.72,BANK_DECLINED,Issuer bank declined the transaction,ananya.chavan@example.com,919858399417,INR
pay_10113,2026-01-18T08:24:00Z,captured,netbanking,233.83,,Payment captured successfully,vikram.mishra@example.com,919854629892,INR
pay_10114,2026-02-04T09:22:00Z,captured,upi,1700.18,,Payment captured successfully,karan.reddy@example.com,919871428713,INR
pay_10115,2026-01-10T17:12:00Z,captured,card,148912.27,,Payment captured successfully,rohan.agarwal@example.com,919835649468,INR
pay_10116,2026-03-15T19:55:00Z,captured,upi,27880.3,,Payment captured successfully,harsh.gupta@example.com,919835074182,INR
pay_10117,2026-05-08T23:23:00Z,captured,netbanking,4203.79,,Payment captured successfully,yash.iyer@example.com,919820746667,INR
pay_10118,2026-03-25T17:19:00Z,captured,card,9438.64,,Payment captured successfully,diya.kulkarni@example.com,919895828117,INR
pay_10119,2026-07-22T09:04:00Z,captured,upi,53114.06,,Payment captured successfully,om.rao@example.com,919826942307,INR
pay_10120,2026-01-18T15:49:00Z,captured,upi,5323.82,,Payment captured successfully,karan.mishra@example.com,919828481124,INR
pay_10121,2026-05-16T19:25:00Z,failed,card,101774.53,LIMIT_EXCEEDED,Transaction limit exceeded,kavya.saxena@example.com,919848329479,INR
pay_10122,2026-06-27T23:12:00Z,captured,card,13985.89,,Payment captured successfully,karan.pawar@example.com,919882769008,INR
pay_10123,2026-03-16T17:54:00Z,captured,card,3800.18,,Payment captured successfully,pooja.bhosale@example.com,919813527782,INR
pay_10124,2026-04-03T19:29:00Z,captured,upi,25824.87,,Payment captured successfully,akash.mishra@example.com,919819898653,INR
pay_10125,2026-02-02T18:41:00Z,failed,card,105130.34,NETWORK_TIMEOUT,Payment network timed out,sneha.iyer@example.com,919879538491,INR
pay_10126,2026-02-09T17:10:00Z,captured,card,946.79,,Payment captured successfully,isha.kulkarni@example.com,919826800072,INR
pay_10127,2026-06-10T17:39:00Z,captured,upi,115873.29,,Payment captured successfully,rajat.rao@example.com,919813808225,INR
pay_10128,2026-01-21T09:41:00Z,captured,upi,53028.59,,Payment captured successfully,simran.bhosale@example.com,919842866956,INR
pay_10129,2026-07-26T20:19:00Z,captured,card,1632.16,,Payment captured successfully,yash.naik@example.com,919856354851,INR
pay_10130,2026-04-13T12:48:00Z,failed,card,648.32,UPI_COLLECT_EXPIRED,UPI collect request expired,akash.joshi@example.com,919831434525,INR
pay_10131,2026-07-28T18:59:00Z,captured,upi,9982.16,,Payment captured successfully,ananya.malhotra@example.com,919877839607,INR
pay_10132,2026-04-28T15:13:00Z,captured,upi,10974.59,,Payment captured successfully,vikram.khan@example.com,919827976443,INR
pay_10133,2026-08-14T16:46:00Z,failed,card,5511.53,INVALID_DETAILS,Payment details were invalid,riya.saxena@example.com,919892012822,INR
pay_10134,2026-01-31T12:06:00Z,captured,card,69905.79,,Payment captured successfully,rohan.rao@example.com,919815222944,INR
pay_10135,2026-02-05T18:51:00Z,captured,card,3424.44,,Payment captured successfully,anushka.naik@example.com,919850162553,INR
pay_10136,2026-06-01T18:32:00Z,captured,upi,624.87,,Payment captured successfully,avni.deshmukh@example.com,919894457912,INR
pay_10137,2026-01-07T23:16:00Z,captured,netbanking,4103.87,,Payment captured successfully,anushka.malhotra@example.com,919829834119,INR
pay_10138,2026-07-30T15:02:00Z,captured,upi,1762.95,,Payment captured successfully,anushka.bhosale@example.com,919818359252,INR
pay_10139,2026-06-30T12:33:00Z,captured,card,67318.24,,Payment captured successfully,manav.sharma@example.com,919896343485,INR
pay_10140,2026-07-25T16:39:00Z,captured,upi,7984.69,,Payment captured successfully,nandini.gupta@example.com,919874398125,INR
pay_10141,2026-03-31T16:18:00Z,captured,card,2518.4,,Payment captured successfully,varun.reddy@example.com,919820607151,INR
pay_10142,2026-03-30T22:41:00Z,failed,card,1808.07,CARD_EXPIRED,Card has expired,siddharth.rao@example.com,919823448342,INR
pay_10143,2026-04-16T18:45:00Z,captured,card,49225.9,,Payment captured successfully,arjun.deshmukh@example.com,919853106399,INR
pay_10144,2026-03-15T09:58:00Z,captured,upi,1928.65,,Payment captured successfully,neha.rao@example.com,919863283709,INR
pay_10145,2026-07-21T23:11:00Z,captured,netbanking,968.71,,Payment captured successfully,aditi.deshmukh@example.com,919870981700,INR
pay_10146,2026-06-14T23:56:00Z,captured,netbanking,18942.52,,Payment captured successfully,neha.shah@example.com,919855246430,INR
pay_10147,2026-07-22T17:36:00Z,failed,upi,11386.62,UPI_COLLECT_EXPIRED,UPI collect request expired,raj.gupta@example.com,919843292316,INR
pay_10148,2026-01-02T16:24:00Z,captured,card,8019.16,,Payment captured successfully,sneha.sharma@example.com,919825867870,INR
pay_10149,2026-04-30T17:10:00Z,captured,card,12034.87,,Payment captured successfully,siddharth.joshi@example.com,919827927298,INR
pay_10150,2026-05-03T12:29:00Z,captured,upi,2662.97,,Payment captured successfully,mohit.mehta@example.com,919880532309,INR
pay_10151,2026-04-25T19:04:00Z,captured,netbanking,4314.27,,Payment captured successfully,sakshi.jain@example.com,919825601471,INR
pay_10152,2026-06-24T14:45:00Z,captured,upi,30869.68,,Payment captured successfully,isha.jain@example.com,919851361818,INR
pay_10153,2026-07-05T08:25:00Z,captured,card,120038.49,,Payment captured successfully,karan.bhosale@example.com,919814259382,INR
pay_10154,2026-03-15T21:11:00Z,captured,upi,29712.25,,Payment captured successfully,harsh.malhotra@example.com,919820770971,INR
pay_10155,2026-06-24T12:41:00Z,captured,netbanking,293.91,,Payment captured successfully,simran.jain@example.com,919883074216,INR
pay_10156,2026-04-19T20:52:00Z,captured,card,567.5,,Payment captured successfully,akash.saxena@example.com,919812099943,INR
pay_10157,2026-03-03T14:04:00Z,captured,card,16703.62,,Payment captured successfully,dev.singh@example.com,919817575790,INR
pay_10158,2026-02-05T17:14:00Z,captured,upi,10978.58,,Payment captured successfully,sakshi.joshi@example.com,919865507111,INR
pay_10159,2026-03-18T16:03:00Z,captured,upi,672.33,,Payment captured successfully,harsh.chavan@example.com,919852779814,INR
pay_10160,2026-06-28T21:26:00Z,captured,card,4016.91,,Payment captured successfully,sneha.pawar@example.com,919865388634,INR
pay_10161,2026-04-17T12:24:00Z,failed,card,3586.18,UPI_COLLECT_EXPIRED,UPI collect request expired,mohit.rao@example.com,919819768947,INR
pay_10162,2026-02-18T14:30:00Z,captured,card,924.63,,Payment captured successfully,raj.joshi@example.com,919891121400,INR
pay_10163,2026-06-30T14:25:00Z,captured,netbanking,8806.24,,Payment captured successfully,nandini.jain@example.com,919823234972,INR
pay_10164,2026-07-25T23:48:00Z,failed,upi,2482.45,UPI_COLLECT_EXPIRED,UPI collect request expired,aditi.joshi@example.com,919860981231,INR
pay_10165,2026-05-26T15:31:00Z,captured,upi,32101.25,,Payment captured successfully,manav.nair@example.com,919828784915,INR
pay_10166,2026-07-04T23:11:00Z,captured,netbanking,632.71,,Payment captured successfully,akash.patel@example.com,919894651342,INR
pay_10167,2026-03-01T10:45:00Z,captured,card,37319.86,,Payment captured successfully,priya.shah@example.com,919881432350,INR
pay_10168,2026-05-22T21:00:00Z,captured,card,32577.06,,Payment captured successfully,neha.iyer@example.com,919822927031,INR
pay_10169,2026-05-15T12:15:00Z,captured,card,28890.98,,Payment captured successfully,pooja.reddy@example.com,919840314047,INR
pay_10170,2026-03-18T10:41:00Z,captured,netbanking,718.92,,Payment captured successfully,ananya.bhosale@example.com,919868238367,INR
pay_10171,2026-06-15T18:36:00Z,captured,netbanking,140127.3,,Payment captured successfully,rohan.mehta@example.com,919847631028,INR
pay_10172,2026-08-19T09:11:00Z,captured,netbanking,41328.15,,Payment captured successfully,simran.nair@example.com,919885693188,INR
pay_10173,2026-03-03T20:43:00Z,captured,netbanking,122416.36,,Payment captured successfully,manav.rao@example.com,919823111164,INR
pay_10174,2026-04-22T15:53:00Z,captured,card,10955.49,,Payment captured successfully,om.bhosale@example.com,919840620216,INR
pay_10175,2026-04-02T20:27:00Z,failed,card,667.7,NETWORK_TIMEOUT,Payment network timed out,ishita.naik@example.com,919862294176,INR
pay_10176,2026-03-23T19:06:00Z,captured,card,18578.0,,Payment captured successfully,isha.chavan@example.com,919864766762,INR
pay_10177,2026-01-27T08:05:00Z,captured,card,28482.94,,Payment captured successfully,isha.joshi@example.com,919886767229,INR
pay_10178,2026-05-14T13:43:00Z,captured,card,17214.29,,Payment captured successfully,karan.verma@example.com,919843782566,INR
pay_10179,2026-03-05T23:38:00Z,captured,upi,28848.82,,Payment captured successfully,aditi.jain@example.com,919854927535,INR
pay_10180,2026-04-21T12:19:00Z,captured,card,8141.52,,Payment captured successfully,nandini.mishra@example.com,919842537638,INR
pay_10181,2026-03-25T20:17:00Z,failed,upi,104562.91,INVALID_DETAILS,Payment details were invalid,kavya.jain@example.com,919849101812,INR
pay_10182,2026-08-01T10:52:00Z,captured,upi,3691.24,,Payment captured successfully,harsh.mehta@example.com,919870272714,INR
pay_10183,2026-06-03T23:37:00Z,captured,card,11916.4,,Payment captured successfully,dev.saxena@example.com,919895655118,INR
pay_10184,2026-08-23T10:06:00Z,captured,upi,16550.34,,Payment captured successfully,aditi.khan@example.com,919824219637,INR
pay_10185,2026-01-03T11:16:00Z,captured,card,22735.89,,Payment captured successfully,avni.reddy@example.com,919877171380,INR
pay_10186,2026-02-08T19:01:00Z,captured,upi,5858.46,,Payment captured successfully,mihika.singh@example.com,919879942848,INR
pay_10187,2026-05-04T19:30:00Z,captured,card,776.6,,Payment captured successfully,vikram.sharma@example.com,919832059232,INR
pay_10188,2026-07-09T15:33:00Z,failed,card,3238.84,ACCOUNT_BLOCKED,Bank account or card is blocked,anushka.singh@example.com,919870340936,INR
pay_10189,2026-06-01T21:24:00Z,failed,card,107734.79,INSUFFICIENT_FUNDS,Insufficient funds in account,nikhil.sharma@example.com,919875697427,INR
pay_10190,2026-05-16T18:38:00Z,captured,card,8519.5,,Payment captured successfully,avni.mehta@example.com,919827978165,INR
pay_10191,2026-03-22T11:15:00Z,captured,card,29637.95,,Payment captured successfully,nandini.agarwal@example.com,919882125824,INR
pay_10192,2026-06-27T13:35:00Z,captured,card,430.07,,Payment captured successfully,arjun.malhotra@example.com,919885374270,INR
pay_10193,2026-05-10T23:26:00Z,captured,upi,4358.73,,Payment captured successfully,riya.joshi@example.com,919882156607,INR
pay_10194,2026-03-15T13:49:00Z,captured,card,61420.67,,Payment captured successfully,tanvi.pawar@example.com,919815584869,INR
pay_10195,2026-07-14T22:34:00Z,captured,card,539.12,,Payment captured successfully,manav.mehta@example.com,919868930964,INR
pay_10196,2026-08-10T11:49:00Z,failed,upi,45135.84,NETWORK_TIMEOUT,Payment network timed out,kavya.rao@example.com,919886514083,INR
pay_10197,2026-03-31T16:38:00Z,failed,upi,457.92,ACCOUNT_BLOCKED,Bank account or card is blocked,riya.agarwal@example.com,919827030641,INR
pay_10198,2026-06-29T12:15:00Z,captured,card,13434.71,,Payment captured successfully,harsh.jain@example.com,919820135622,INR
pay_10199,2026-06-12T10:25:00Z,captured,upi,421.58,,Payment captured successfully,ananya.naik@example.com,919871532017,INR
pay_10200,2026-06-12T19:54:00Z,captured,card,9296.0,,Payment captured successfully,rajat.patel@example.com,919885986307,INR
pay_10201,2026-08-07T23:50:00Z,captured,card,745.04,,Payment captured successfully,rahul.jain@example.com,919871272827,INR
pay_10202,2026-01-01T21:12:00Z,captured,netbanking,926.53,,Payment captured successfully,nikhil.mehta@example.com,919859908025,INR
pay_10203,2026-06-20T13:03:00Z,failed,card,443.41,CARD_EXPIRED,Card has expired,sakshi.sharma@example.com,919869735865,INR
pay_10204,2026-01-03T08:44:00Z,captured,card,295.48,,Payment captured successfully,vikram.iyer@example.com,919852057323,INR
pay_10205,2026-04-05T17:08:00Z,failed,card,56841.16,CUSTOMER_CANCELLED,Customer cancelled the payment,kavya.agarwal@example.com,919830317091,INR
pay_10206,2026-08-24T21:39:00Z,captured,upi,41334.85,,Payment captured successfully,diya.gupta@example.com,919828767690,INR
pay_10207,2026-03-05T16:41:00Z,failed,card,11075.32,REPEATED_FAILURE,Repeated consecutive failure on this instrument,varun.agarwal@example.com,919817324144,INR
pay_10208,2026-07-20T15:31:00Z,captured,card,5710.05,,Payment captured successfully,aditya.malhotra@example.com,919886286724,INR
pay_10209,2026-04-18T19:34:00Z,failed,upi,12702.9,CARD_EXPIRED,Card has expired,shreya.chavan@example.com,919848451741,INR
pay_10210,2026-06-10T21:27:00Z,captured,upi,80990.69,,Payment captured successfully,ishita.pawar@example.com,919853855682,INR
pay_10211,2026-04-11T10:19:00Z,captured,upi,18017.36,,Payment captured successfully,sneha.deshmukh@example.com,919899399687,INR
pay_10212,2026-07-09T13:07:00Z,failed,card,9963.63,NETWORK_TIMEOUT,Payment network timed out,riya.naik@example.com,919825845304,INR
pay_10213,2026-07-17T08:21:00Z,captured,upi,35182.23,,Payment captured successfully,sneha.bhosale@example.com,919886086168,INR
pay_10214,2026-02-12T19:10:00Z,captured,card,281.32,,Payment captured successfully,aarav.joshi@example.com,919816171536,INR
pay_10215,2026-05-01T19:24:00Z,failed,netbanking,43108.24,INVALID_CVV,Card verification failed,yash.kulkarni@example.com,919820453825,INR
pay_10216,2026-05-27T19:07:00Z,captured,upi,920.55,,Payment captured successfully,varun.deshmukh@example.com,919853929586,INR
pay_10217,2026-01-23T22:00:00Z,captured,card,23490.2,,Payment captured successfully,arjun.naik@example.com,919883357939,INR
